"","variable_name","use_nm","use_tn","variable_label","short_name","group_name","field_type","minimum_possible_value","maximum_possible_value","is_subgroup_variable","is_potential_outcome_variable","is_categorical_variable","is_ordinal_outcome","time_invariant","is_foreign_key","foreign_key_table","is_date","chart_label","definition"
"16","algbr1_nam_p1",0,1,"Algebra 1 (EOC), test name, one year later","","","str",NA,NA,0,1,0,0,2,0,"",0,"Official name of Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam, one year later: Official name of the exam taken, such as New Mexico Standards Based Assessment (NMSBA), Tennessee Comprehensive Assessment Program (TCAP), or Florida's Comprehensive Assessment Test (FCAT)."
"17","algbr1_nam_p2",0,1,"Algebra 1 (EOC), test name, two years later","","","str",NA,NA,0,1,0,0,2,0,"",0,"Official name of Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam, two years later: Official name of the exam taken, such as New Mexico Standards Based Assessment (NMSBA), Tennessee Comprehensive Assessment Program (TCAP), or Florida's Comprehensive Assessment Test (FCAT)."
"18","algbr1_pas_m1",0,1,"Algebra 1 (EOC), exam passed by one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for passing exam, if taken, by one year prior: 0 = Did not pass exam, 1 = Passed exam."
"19","algbr1_pas_m2",0,1,"Algebra 1 (EOC), exam passed by two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for passing exam, if taken, by two years prior: 0 = Did not pass exam, 1 = Passed exam."
"20","algbr1_pas_p0",0,1,"Algebra 1 (EOC), exam passed by current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Passed Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam: Indicator for passing exam, if taken, by current year: 0 = Did not pass exam, 1 = Passed exam."
"21","algbr1_pas_p1",0,1,"Algebra 1 (EOC), exam passed by one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Passed Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam: Indicator for passing exam, if taken, by one year later: 0 = Did not pass exam, 1 = Passed exam."
"22","algbr1_pas_p2",0,1,"Algebra 1 (EOC), exam passed by two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Passed Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam: Indicator for passing exam, if taken, by two years later: 0 = Did not pass exam, 1 = Passed exam."
"23","algbr1_pr2_m1",0,1,"Algebra 1 (EOC), proficient indicator (y/n), one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Proficient indicator (y/n) for by the student (on first valid exam). 0 = Not proficient, 1 = Proficient (or advanced)."
"24","algbr1_pr2_m2",0,1,"Algebra 1 (EOC), proficient indicator (y/n), two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Proficient indicator (y/n) for by the student (on first valid exam). 0 = Not proficient, 1 = Proficient (or advanced)."
"25","algbr1_pr2_p0",0,1,"Algebra 1 (EOC), proficient indicator (y/n), current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Proficiency of Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam, current year: Proficient indicator (y/n) for by the student (on first valid exam). 0 = Not proficient, 1 = Proficient (or advanced)."
"26","algbr1_pr2_p1",0,1,"Algebra 1 (EOC), proficient indicator (y/n), one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Proficiency of Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam, one year later: Proficient indicator (y/n) for by the student (on first valid exam). 0 = Not proficient, 1 = Proficient (or advanced)."
"27","algbr1_pr2_p2",0,1,"Algebra 1 (EOC), proficient indicator (y/n), two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Proficiency of Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam, two years later: Proficient indicator (y/n) for by the student (on first valid exam). 0 = Not proficient, 1 = Proficient (or advanced)."
"28","algbr1_prf_m1",0,1,"Algebra 1 (EOC), proficiency level, one year prior","","","byte",1,9,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Proficiency level achieved by the student (on first valid exam). 1 = Beginning step, 2 = Nearing proficiency, 3 = Proficient, 4 = Advanced."
"29","algbr1_prf_m2",0,1,"Algebra 1 (EOC), proficiency level, two years prior","","","byte",1,9,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Proficiency level achieved by the student (on first valid exam). 1 = Beginning step, 2 = Nearing proficiency, 3 = Proficient, 4 = Advanced."
"30","algbr1_prf_p0",0,1,"Algebra 1 (EOC), proficiency level, current year","","","byte",1,9,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, current year: Proficiency level achieved by the student (on first valid exam). 1 = Beginning step, 2 = Nearing proficiency, 3 = Proficient, 4 = Advanced."
"31","algbr1_prf_p1",0,1,"Algebra 1 (EOC), proficiency level, one year later","","","byte",1,9,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year later: Proficiency level achieved by the student (on first valid exam). 1 = Beginning step, 2 = Nearing proficiency, 3 = Proficient, 4 = Advanced."
"32","algbr1_prf_p2",0,1,"Algebra 1 (EOC), proficiency level, two years later","","","byte",1,9,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years later: Proficiency level achieved by the student (on first valid exam). 1 = Beginning step, 2 = Nearing proficiency, 3 = Proficient, 4 = Advanced."
"33","algbr1_scr_m1",0,1,"Algebra 1 (EOC), scale score, one year prior","","","int",0,9999,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Scale score earned by the student (on first valid exam)."
"34","algbr1_scr_m2",0,1,"Algebra 1 (EOC), scale score, two years prior","","","int",0,9999,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Scale score earned by the student (on first valid exam)."
"35","algbr1_scr_p0",0,1,"Algebra 1 (EOC), scale score, current year","","","int",0,9999,0,1,0,0,2,0,"",0,"Score on Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam, current year: Scale score earned by the student (on first valid exam)."
"36","algbr1_scr_p1",0,1,"Algebra 1 (EOC), scale score, one year later","","","int",0,9999,0,1,0,0,2,0,"",0,"Score on Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam, one year later: Scale score earned by the student (on first valid exam)."
"37","algbr1_scr_p2",0,1,"Algebra 1 (EOC), scale score, two years later","","","int",0,9999,0,1,0,0,2,0,"",0,"Score on Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam, two years later: Scale score earned by the student (on first valid exam)."
"38","algbr1_tak_m1",0,1,"Algebra 1 (EOC), exam taken by one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for taking exam by one year prior: 0 = Did not take exam, 1 = Took exam."
"39","algbr1_tak_m2",0,1,"Algebra 1 (EOC), exam taken by two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for taking exam by two years prior: 0 = Did not take exam, 1 = Took exam."
"40","algbr1_tak_p0",0,1,"Algebra 1 (EOC), exam taken by current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Took Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam: Indicator for taking exam by current year: 0 = Did not take exam, 1 = Took exam."
"41","algbr1_tak_p1",0,1,"Algebra 1 (EOC), exam taken by one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Took Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam: Indicator for taking exam by one year later: 0 = Did not take exam, 1 = Took exam."
"42","algbr1_tak_p2",0,1,"Algebra 1 (EOC), exam taken by two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Took Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam: Indicator for taking exam by two years later: 0 = Did not take exam, 1 = Took exam."
"43","algbr1_tap_m1",0,1,"Algebra 1 (EOC), exam taken and passed by one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for taking exam by one year prior: 0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam."
"44","algbr1_tap_m2",0,1,"Algebra 1 (EOC), exam taken and passed by two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam: Indicator for taking exam by two years prior: 0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam."
"45","algbr1_tap_p0",0,1,"Algebra 1 (EOC), exam taken and passed by current year","","","byte",NA,NA,0,1,1,1,2,0,"",0,"Taken and passed Algebra 1 (end-of-course) exam, academic year of intervention start. (0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam.)","Algebra 1 end-of-course exam: Indicator for taking exam by current year: 0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam."
"46","algbr1_tap_p1",0,1,"Algebra 1 (EOC), exam taken and passed by one year later","","","byte",NA,NA,0,1,1,1,2,0,"",0,"Taken and passed Algebra 1 (end-of-course) exam, year 1 after intervention start. (0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam.)","Algebra 1 end-of-course exam: Indicator for taking exam by one year later: 0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam."
"47","algbr1_tap_p2",0,1,"Algebra 1 (EOC), exam taken and passed by two years later","","","byte",NA,NA,0,1,1,1,2,0,"",0,"Taken and passed Algebra 1 (end-of-course) exam, year 2 after intervention start. (0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam.)","Algebra 1 end-of-course exam: Indicator for taking exam by two years later: 0 = Did not take exam, 1 = Took exam but did not pass, 2 = Passed exam."
"48","algbr1_typ_m1",0,1,"Algebra 1 (EOC), exam type, one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Type of the exam taken. 1-12 = Standard grade-level assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam."
"49","algbr1_typ_m2",0,1,"Algebra 1 (EOC), exam type, two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Type of the exam taken. 1-12 = Standard grade-level assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam."
"50","algbr1_typ_p0",0,1,"Algebra 1 (EOC), exam type, current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Type of Algebra 1 (end-of-course) exam, academic year of intervention start. 1-12 = Standard assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam.","Algebra 1 end-of-course exam, current year: Type of the exam taken. 1-12 = Standard grade-level assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam."
"51","algbr1_typ_p1",0,1,"Algebra 1 (EOC), exam type, one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Type of Algebra 1 (end-of-course) exam, year 1 after intervention start. 1-12 = Standard assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam.","Algebra 1 end-of-course exam, one year later: Type of the exam taken. 1-12 = Standard grade-level assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam."
"52","algbr1_typ_p2",0,1,"Algebra 1 (EOC), exam type, two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Type of Algebra 1 (end-of-course) exam, year 2 after intervention start. 1-12 = Standard assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam.","Algebra 1 end-of-course exam, two years later: Type of the exam taken. 1-12 = Standard grade-level assessment (number indicates grade); 13 = High school exit exam; 13 = End-of-course exam."
"53","algbr1_ver_m1",0,1,"Algebra 1 (EOC), exam version, one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Version of exam taken by the student (of the first valid exam). 1 = standard or regular; 2 = alternative or simplified; 4 = other."
"54","algbr1_ver_m2",0,1,"Algebra 1 (EOC), exam version, two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Version of exam taken by the student (of the first valid exam). 1 = standard or regular; 2 = alternative or simplified; 4 = other."
"55","algbr1_ver_p0",0,1,"Algebra 1 (EOC), exam version, current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Version of Algebra 1 (end-of-course) exam, academic year of intervention start. 1 = standard or regular; 2 = alternative or simplified; 4 = other.","Algebra 1 end-of-course exam, current year: Version of exam taken by the student (of the first valid exam). 1 = standard or regular; 2 = alternative or simplified; 4 = other."
"56","algbr1_ver_p1",0,1,"Algebra 1 (EOC), exam version, one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Version of Algebra 1 (end-of-course) exam, year 1 after intervention start. 1 = standard or regular; 2 = alternative or simplified; 4 = other.","Algebra 1 end-of-course exam, one year later: Version of exam taken by the student (of the first valid exam). 1 = standard or regular; 2 = alternative or simplified; 4 = other."
"57","algbr1_ver_p2",0,1,"Algebra 1 (EOC), exam version, two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Version of Algebra 1 (end-of-course) exam, year 2 after intervention start. 1 = standard or regular; 2 = alternative or simplified; 4 = other.","Algebra 1 end-of-course exam, two years later: Version of exam taken by the student (of the first valid exam). 1 = standard or regular; 2 = alternative or simplified; 4 = other."
"58","attend_m1",1,1,"Attendance rate, one year prior","Attendance rate, prior year","Academic History","float",NA,NA,0,0,0,NA,0,0,"",0,"","Attendance rate for the student for the academic year, one year prior."
"59","attend_m2",1,1,"Attendance rate, two years prior","Attendance rate, -2 years","Academic History","float",NA,NA,0,0,0,NA,0,0,"",0,"","Attendance rate for the student for the academic year, two years prior."
"60","attend_p0",1,1,"Attendance rate, current year","","","float",NA,NA,0,1,0,0,0,0,"",0,"Attendance rate for academic year of intervention start.","Attendance rate for the student for the academic year, current year."
"61","attend_p1",1,1,"Attendance rate, one year later","","","float",NA,NA,0,1,0,0,0,0,"",0,"Attendance rate for year 1 after intervention start.","Attendance rate for the student for the academic year, one year later."
"62","attend_p2",1,1,"Attendance rate, two years later","","","float",NA,NA,0,1,0,0,0,0,"",0,"Attendance rate for year 2 after intervention start.","Attendance rate for the student for the academic year, two years later."
"63","chronic_absentee_m1",1,1,"Chronic absentee (attendance < .9), one year prior","Chronic absentee (attendance < .9)","Academic History","byte",0,1,0,0,1,NA,0,0,"",0,"","Student is a chronic absentee (attendance rate less than 90%) for the academic year, one year prior: 0 = No; 1 = Yes."
"64","chronic_absentee_m2",1,1,"Chronic absentee (attendance < .9), two years prior","Chronic absentee, -2 years","Academic History","byte",0,1,0,0,1,NA,0,0,"",0,"","Student is a chronic absentee (attendance rate less than 90%) for the academic year, two years prior: 0 = No; 1 = Yes."
"65","chronic_absentee_p0",1,1,"Chronic absentee (attendance < .9), current year","","","byte",0,1,0,1,1,0,0,0,"",0,"","Student is a chronic absentee (attendance rate less than 90%) for the academic year, current year: 0 = No; 1 = Yes."
"66","chronic_absentee_p1",1,1,"Chronic absentee (attendance < .9), one year later","","","byte",0,1,0,1,1,0,0,0,"",0,"","Student is a chronic absentee (attendance rate less than 90%) for the academic year, one year later: 0 = No; 1 = Yes."
"67","chronic_absentee_p2",1,1,"Chronic absentee (attendance < .9), two years later","","","byte",0,1,0,1,1,0,0,0,"",0,"","Student is a chronic absentee (attendance rate less than 90%) for the academic year, two years later: 0 = No; 1 = Yes."
"68","diploma_any_m1",1,1,"Diploma: Regular, Advanced, Alternative/Credential, one year prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Indicates whether or not the student earned a regular, advanced, or alternative diploma, or an alternative completion credential, one year prior."
"69","diploma_any_m2",1,1,"Diploma: Regular, Advanced, Alternative/Credential, two years prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Indicates whether or not the student earned a regular, advanced, or alternative diploma, or an alternative completion credential, two years prior."
"70","diploma_any_p0",1,1,"Diploma: Regular, Advanced, Alternative/Credential, current year","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular, advanced, or alternative diploma, or an alternative completion credential, academic year of intervention start.","Indicates whether or not the student earned a regular, advanced, or alternative diploma, or an alternative completion credential, current year."
"71","diploma_any_p1",1,1,"Diploma: Regular, Advanced, Alternative/Credential, one year later (cumulative)","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular, advanced, or alternative diploma, or an alternative completion credential, year 1 after intervention start.","Indicates whether or not the student earned a regular, advanced, or alternative diploma, or an alternative completion credential, one year later (cumulative from current year)."
"72","diploma_any_p2",1,1,"Diploma: Regular, Advanced, Alternative/Credential, two years later (cumulative)","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular, advanced, or alternative diploma, or an alternative completion credential, year 2 after intervention start.","Indicates whether or not the student earned a regular, advanced, or alternative diploma, or an alternative completion credential, two years later (cumulative from current year)."
"73","diploma_date_m1",1,1,"Diploma date, one year prior","","","long",17898,NA,0,0,0,NA,0,0,"",1,"","Date on which the student earned the diploma, one year prior."
"74","diploma_date_m2",1,1,"Diploma date, two years prior","","","long",17898,NA,0,0,0,NA,0,0,"",1,"","Date on which the student earned the diploma, two years prior."
"75","diploma_date_p0",1,1,"Diploma date, current year","","","long",17898,NA,0,0,0,NA,0,0,"",1,"","Date on which the student earned the diploma, current year."
"76","diploma_date_p1",1,1,"Diploma date, one year later","","","long",17898,NA,0,0,0,NA,0,0,"",1,"","Date on which the student earned the diploma, one year later."
"77","diploma_date_p2",1,1,"Diploma date, two years later","","","long",17898,NA,0,0,0,NA,0,0,"",1,"","Date on which the student earned the diploma, two years later."
"78","diploma_reg_m1",1,1,"Diploma: Regular or Advanced, one year prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Indicates whether or not the student earned a regular or advanced diploma, one year prior."
"79","diploma_reg_m2",1,1,"Diploma: Regular or Advanced, two years prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Indicates whether or not the student earned a regular or advanced diploma, two years prior."
"80","diploma_reg_p0",1,1,"Diploma: Regular or Advanced, current year","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular vs advanced diploma, academic year of intervention start.","Indicates whether or not the student earned a regular or advanced diploma, current year."
"81","diploma_reg_p1",1,1,"Diploma: Regular or Advanced, one year later (cumulative)","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular vs advanced diploma, year 1 after intervention start.","Indicates whether or not the student earned a regular or advanced diploma, one year later (cumulative from current year)."
"82","diploma_reg_p2",1,1,"Diploma: Regular or Advanced, two years later (cumulative)","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Regular vs advanced diploma, year 2 after intervention start.","Indicates whether or not the student earned a regular or advanced diploma, two years later (cumulative from current year)."
"83","diploma_type_m1",1,1,"Diploma type, one year prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Type of diploma earned by the student: 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. One year prior."
"84","diploma_type_m2",1,1,"Diploma type, two years prior","","","byte",NA,NA,0,0,1,NA,0,0,"",0,"","Type of diploma earned by the student: 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. Two years prior."
"85","diploma_type_p0",1,1,"Diploma type, current year","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Type of diploma earned. 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. academic year of intervention start.","Type of diploma earned by the student: 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. Current year."
"86","diploma_type_p1",1,1,"Diploma type, one year later","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Type of diploma earned. 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. year 1 after intervention start.","Type of diploma earned by the student: 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. One year later."
"87","diploma_type_p2",1,1,"Diploma type, two years later","","","byte",NA,NA,0,1,1,0,0,0,"",0,"Type of diploma earned. 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. year 2 after intervention start.","Type of diploma earned by the student: 1 = regular, 2 = advanced, 3 = alternative or GED, 4 = completion (no diploma), 9 = no diploma. Two years later."
"88","disability",1,1,"Primary disability","","Personal Characteristics","byte",NA,NA,0,0,1,NA,0,0,"",0,"","The major disability condition that best describes an individual's impairment, integrated with assessment version. (Only for students receiving special education services.)"
"89","districtid_nces_assess_m1",1,1,"District ID, NCES-assigned, assessment, one year prior","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The district or LEA ID as assigned by NCES and as recorded in assessment data. NOTE: The state to which the LEA belongs is identified by the first two digits of the LEAID. (These two digits are the state's ANSI code.) For PRIOR year."
"90","districtid_nces_assess_p0",1,1,"District ID, NCES-assigned, assessment, current year","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The district or LEA ID as assigned by NCES and as recorded in assessment data. NOTE: The state to which the LEA belongs is identified by the first two digits of the LEAID. (These two digits are the state's ANSI code.) For CURRENT year."
"91","districtid_nces_enroll_m1",1,1,"District ID, NCES-assigned, fall enrollment, one year prior","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The district or LEA ID as assigned by NCES and as recorded in fall enrollment data. NOTE: The state to which the LEA belongs is identified by the first two digits of the LEAID. (These two digits are the state's ANSI code.) For PRIOR year."
"92","districtid_nces_enroll_p0",1,1,"District ID, NCES-assigned, fall enrollment, current year","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The district or LEA ID as assigned by NCES and as recorded in fall enrollment data. NOTE: The state to which the LEA belongs is identified by the first two digits of the LEAID. (These two digits are the state's ANSI code.) For CURRENT year."
"93","districtid_state_assess_m1",1,1,"District ID, state-assigned, assessment, one year prior","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The unique number or alphanumeric code assigned to a local education agency by a school system, state, or other agency or entity, as recorded in assessment data. For PRIOR year."
"94","districtid_state_assess_p0",1,1,"District ID, state-assigned, assessment, current year","","","str",NA,NA,0,0,0,NA,0,0,"",0,"","The unique number or alphanumeric code assigned to a local education agency by a school system, state, or other agency or entity, as recorded in assessment data. For CURRENT year."
"95","districtid_state_enroll_m1",1,0,"District ID, state-assigned, fall enrollment, one year prior","","","str",NA,NA,0,0,0,NA,0,1,"nm2010_dst, nm2011_dst, nm2012_dst, nm2013_dst",0,"","The unique number or alphanumeric code assigned to a local education agency by a school system, state, or other agency or entity, as recorded in fall enrollment data. For PRIOR year."
"96","districtid_state_enroll_m1",0,1,"District ID, state-assigned, fall enrollment, one year prior","","","str",NA,NA,0,0,0,NA,0,1,"tn2010_dst, tn2011_dst, tn2012_dst, tn2013_dst",0,"","The unique number or alphanumeric code assigned to a local education agency by a school system, state, or other agency or entity, as recorded in fall enrollment data. For PRIOR year."
