school,student_id,test_score,gender,asian,black,hispanic,national,eng_limit,special_ed
Bear Creek,61,53.83481272431229,0,0,0,1,0,1,0
Bear Creek,62,71.58150515887623,1,0,0,0,0,1,0
Bear Creek,63,88.87402078217781,0,0,0,1,0,0,0
Bear Creek,64,106.84655605498845,1,0,0,1,0,0,0
Bear Creek,65,96.49571888559119,0,0,0,1,0,0,0
Bear Creek,66,55.4764928578077,1,0,0,1,0,1,0
Bear Creek,67,33.52540160432047,1,0,0,1,0,1,0
Bear Creek,68,100.40382593923755,0,1,0,1,0,0,0
Bear Creek,69,73.3999020186504,1,0,0,1,0,0,0
Bear Creek,70,83.61864624336272,0,0,0,0,0,0,0
Bear Creek,71,60.60505369077603,0,0,0,1,0,0,0
Bear Creek,72,78.7291269325308,1,0,0,0,0,1,0
Bear Creek,73,103.35718057520813,1,0,0,1,1,0,0
Bear Creek,74,112.9600668185919,0,0,0,0,0,0,0
Bear Creek,75,100.98200340591453,1,0,0,0,0,0,0
Bear Creek,76,45.288254226881406,1,0,0,1,0,1,0
Bear Creek,77,85.9885905336703,0,0,0,0,0,1,0
Bear Creek,78,77.26256641254923,1,0,1,1,0,1,0
Bear Creek,79,122.6871231170944,0,0,0,0,0,0,0
Bear Creek,80,107.9718451744421,0,0,0,1,0,0,0
Bear Creek,81,119.16242030661749,1,0,0,1,0,0,0
Bear Creek,82,101.0790574213002,1,0,0,1,0,0,0
Bear Creek,83,61.093591500755686,0,0,0,1,0,0,0
Bear Creek,84,141.72012021090822,1,0,0,0,0,0,0
Bear Creek,85,114.8447141319103,0,0,0,0,0,0,0
Bear Creek,86,77.36890723012147,0,1,0,1,0,0,0
Bear Creek,87,89.96858938029442,0,0,0,1,0,0,0
Bear Creek,88,79.87397461941525,0,0,0,0,0,0,0
Bear Creek,89,73.5155295346263,1,0,0,0,0,0,0
Bear Creek,90,99.95637269836088,1,0,0,0,0,0,0
Bear Creek,91,83.35401884433794,0,0,0,1,0,1,0
Bear Creek,92,107.53531599224189,1,0,0,0,0,0,0
Bear Creek,93,51.90663623789084,0,0,1,0,0,0,0
Bear Creek,94,110.77533710176732,0,0,1,0,0,0,0
Bear Creek,95,122.19223308266307,1,0,0,0,0,0,0
Bear Creek,96,102.47460567095041,0,0,0,1,0,1,0
Bear Creek,97,82.0090424735491,0,0,0,0,0,1,0
Bear Creek,98,81.96347574765785,0,0,0,0,0,0,0
Bear Creek,99,99.06194462865483,1,0,0,0,0,0,0
Bear Creek,100,102.37555513201293,0,0,0,0,0,1,0
Bear Creek,101,81.18220509742402,1,1,0,0,0,1,0
Bear Creek,102,83.10445603550016,0,0,0,0,0,1,0
Bear Creek,103,88.49133121049047,0,0,0,1,0,0,0
Bear Creek,104,92.3084316440291,1,0,0,1,0,0,0
Bear Creek,105,139.48658305840084,0,0,0,0,0,0,0
Bear Creek,106,103.6314525642001,1,0,0,0,0,0,0
Bear Creek,107,111.64966756257293,1,0,0,1,1,0,0
Bear Creek,108,61.722027832506676,1,0,1,1,0,1,0
Bear Creek,109,86.76724390712741,0,0,0,1,0,0,0
Bear Creek,110,79.34661107770762,0,0,0,1,0,0,0
Bear Creek,111,89.01234526261757,0,0,0,1,0,1,0
Bear Creek,112,126.5764551206602,0,0,0,0,0,1,0
Bear Creek,113,70.9236117324501,0,0,0,1,0,0,0
Bear Creek,114,117.86600909293307,1,0,0,0,0,0,0
Bear Creek,115,95.06343298938218,1,0,0,1,0,0,0
Bear Creek,116,94.02828693682866,0,0,0,1,0,1,0
Bear Creek,117,93.39854140617476,1,0,0,1,0,0,0
Bear Creek,118,66.72335670603486,0,0,0,0,0,0,0
Bear Creek,119,96.98940600875402,1,0,0,0,0,0,0
Bear Creek,120,108.81433452764009,1,0,0,1,0,0,0
Bear Creek,121,99.53165446456832,1,0,1,1,0,0,0
Bear Creek,122,61.27144297340181,0,0,0,0,0,1,0
Bear Creek,123,107.25199037431032,1,0,0,0,0,0,0
Bear Creek,124,72.65453112252291,0,0,0,1,0,0,1
Bear Creek,125,93.31150878956932,0,0,0,1,0,0,0
Bear Creek,126,83.44663993654969,1,0,1,0,0,1,0
Bear Creek,127,97.75050820996086,1,0,0,1,0,1,0
Bear Creek,128,111.41530141013982,0,0,0,0,0,1,0
Bear Creek,129,72.7709499739988,0,0,1,0,0,0,0
Bear Creek,130,63.81245869422333,1,0,0,1,0,1,0
Bear Creek,131,136.6619628850522,0,0,0,0,0,0,0
Bear Creek,132,102.82361991753805,1,0,0,0,0,0,0
Bear Creek,133,94.73838868638927,1,0,0,1,0,0,0
Bear Creek,134,80.03535635044877,1,0,0,0,0,0,0
Bear Creek,135,133.1523109105553,0,0,0,0,0,0,0
Bear Creek,136,92.77211292155715,1,0,0,1,0,1,0
Bear Creek,137,112.68111102489814,1,0,1,0,0,0,0
Bear Creek,138,95.14758971561741,1,0,0,1,0,0,0
Bear Creek,139,114.12700009092248,1,0,0,0,0,0,0
Bear Creek,140,74.24830192750022,1,0,0,1,0,0,0
Bear Creek,141,85.88130115823,1,0,0,0,0,1,0
Bear Creek,142,99.72384680445919,0,0,0,0,0,0,0
Bear Creek,143,124.20791529966748,0,0,0,1,0,0,0
Bear Creek,144,95.24811589164062,1,0,1,1,0,1,0
Bear Creek,145,91.09827624694378,1,0,0,0,0,0,0
Bear Creek,146,120.5826044408731,0,0,0,0,0,0,0
Bear Creek,147,94.82364051495213,0,0,0,0,0,0,0
Bear Creek,148,125.86709906111193,1,0,0,1,0,0,0
Bear Creek,149,108.84344449154558,0,0,0,0,0,0,0
Bear Creek,150,112.44962435659136,0,0,0,0,0,0,0
Bear Creek,151,97.59845561152184,1,0,1,1,0,1,0
Bear Creek,152,120.53774043548933,1,0,0,1,0,0,0
Bear Creek,153,123.66633791837134,1,0,0,0,0,0,0
Bear Creek,154,119.04199096524121,1,0,0,1,0,0,0
Bear Creek,155,82.18674286269584,1,0,0,0,0,0,0
Bear Creek,156,117.20933898742885,1,0,0,0,1,0,0
Bear Creek,157,80.35906712478572,0,0,1,0,0,0,0
Bear Creek,158,114.54917697037972,0,0,0,1,0,0,0
Bear Creek,159,76.6853546204585,1,0,1,1,0,1,0
Bear Creek,160,81.5212663401695,0,0,1,1,0,0,0
Bear Creek,161,99.33432325829705,0,0,0,0,0,0,0
Bear Creek,162,66.55590184307292,0,0,0,1,0,1,0
Bear Creek,163,132.8031483197012,0,0,0,0,0,0,0
Bear Creek,164,64.6777452215229,0,0,1,0,0,0,0
Bear Creek,165,77.95646777128488,0,0,0,1,0,0,0
Bear Creek,166,66.9472152776674,1,0,0,1,0,1,0
Bear Creek,167,90.96757057921216,1,0,0,0,0,0,0
Bear Creek,168,68.16303923209567,1,0,0,1,0,0,0
Bear Creek,169,97.46278961790635,0,0,0,0,0,0,0
Bear Creek,170,109.4845559932697,1,0,0,0,0,0,0
Bear Creek,171,91.30480450895101,0,0,0,1,0,0,0
Bear Creek,172,96.18106248542693,0,0,0,0,0,0,0
Bear Creek,173,56.5127921825237,1,0,0,1,0,1,0
Bear Creek,174,67.27382599970103,0,0,0,0,0,1,0
Bear Creek,175,137.12873039056916,1,1,0,0,0,0,0
Bear Creek,176,78.71009771814354,0,0,0,1,0,0,0
Bear Creek,177,71.64787235905683,0,0,0,0,0,1,0
Bear Creek,178,90.85834690707641,0,0,0,0,0,0,0
Bear Creek,179,91.68198325828013,0,0,0,1,0,1,0
Bear Creek,180,104.57599711493081,1,0,0,0,0,0,0
Bear Creek,181,48.24223197612396,1,0,0,1,0,1,0
Bear Creek,182,70.76115813858797,0,0,0,1,0,1,0
Bear Creek,183,87.28568382142495,0,0,0,0,0,0,0
Bear Creek,184,87.75817662582882,0,0,0,0,0,1,0
Bear Creek,185,106.0926516463642,1,0,0,1,0,0,0
Bear Creek,186,79.6199020274792,0,0,0,1,0,1,0
Bear Creek,187,111.10551393294557,0,0,0,1,0,0,0
Bear Creek,188,121.49515206807642,1,0,0,0,0,0,0
Bear Creek,189,87.93558489181117,1,0,0,1,0,0,0
Bear Creek,190,70.60470414301895,0,0,0,0,0,0,0
Bear Creek,191,106.75164874195326,0,0,0,1,0,0,0
Bear Creek,192,86.94360150638374,1,0,1,0,0,0,0
Bear Creek,193,110.93273794645935,1,0,0,0,0,0,0
Bear Creek,194,65.40537936709005,1,0,0,0,0,0,0
Bear Creek,195,88.22765716379227,1,0,0,0,0,1,0
Bear Creek,196,98.21848562621005,0,0,0,0,0,0,0
Bear Creek,197,87.95628371022292,1,0,0,1,0,1,0
Bear Creek,198,98.06708168600068,0,0,0,0,0,0,0
Bear Creek,199,94.31975767460277,0,0,0,1,0,0,0
Bear Creek,200,91.26023899972745,0,0,0,1,0,0,0
Bear Creek,201,98.13027733590457,1,0,0,1,0,0,0
Bear Creek,202,108.55425722744599,0,0,0,0,0,0,0
Bear Creek,203,113.26462175157693,0,0,1,0,0,0,0
Bear Creek,204,107.4831761023173,0,0,0,1,0,0,0
Bear Creek,205,84.3392307034566,1,0,0,0,0,0,0
Bear Creek,206,72.22993318718605,0,0,0,1,0,0,0
Bear Creek,207,118.83704740763274,0,0,0,0,0,1,0
Bear Creek,208,104.44997523195005,0,0,1,1,0,0,0
Bear Creek,209,42.357205945843766,1,0,0,1,0,0,0
Bear Creek,210,129.61153831210177,0,0,0,0,0,0,0
Bear Creek,211,59.31827187136269,0,0,1,1,0,0,0
Bear Creek,212,88.44872827957576,0,0,0,0,0,1,0
Bear Creek,213,118.33690395244709,1,1,0,0,0,0,0
Bear Creek,214,119.72721409479448,0,0,1,0,0,0,0
Bear Creek,215,83.89346967873593,0,0,0,0,0,0,0
Bear Creek,216,46.32704392359788,1,0,0,0,0,1,0
Bear Creek,217,77.55147013339055,1,0,0,1,0,0,0
Bear Creek,218,111.9999957361324,1,0,0,0,0,0,0
Bear Creek,219,119.67110525951122,0,1,0,0,0,1,0
Bear Creek,220,104.84709975131797,1,0,0,0,0,0,0
Bear Creek,221,82.55081522418068,1,0,0,0,0,1,0
Bear Creek,222,90.88713592263292,0,0,0,0,0,1,0
Bear Creek,223,120.5547513284445,0,0,1,1,0,0,0
Bear Creek,224,123.63728805585055,1,0,0,0,0,0,0
Bear Creek,225,65.63951331917889,0,0,0,1,0,0,0
Bear Creek,226,81.62645224450196,0,0,0,0,0,0,0
Bear Creek,227,108.52924549059055,0,0,0,0,0,0,0
Bear Creek,228,111.56693654691273,1,0,0,0,0,0,0
Bear Creek,229,133.4346001739827,0,0,0,1,0,0,0
Bear Creek,230,77.39734867767599,1,0,0,0,0,1,0
Bear Creek,231,87.96601138881647,0,0,0,0,0,0,0
Bear Creek,232,115.23740836388708,0,0,0,1,0,0,0
Bear Creek,233,99.03864495413971,1,0,0,0,0,1,0
Bear Creek,234,94.66430057300992,0,0,0,1,0,0,0
Bear Creek,235,81.98715606321666,0,0,1,1,0,0,0
Bear Creek,236,108.59070968209174,0,0,0,0,0,0,0
Bear Creek,237,51.16139993431568,1,0,0,1,0,1,0
Bear Creek,238,110.61067367047112,0,0,0,1,0,1,0
Bear Creek,239,118.99485588238049,1,0,0,1,0,1,0
Bear Creek,240,80.23489951605458,1,0,0,0,0,0,0
Bear Creek,241,123.35743741420868,1,0,0,0,0,0,0
Bear Creek,242,90.21816507532233,1,0,0,0,0,0,0
Bear Creek,243,58.42345242106039,1,0,0,1,0,1,0
Bear Creek,244,100.27786151629383,0,0,0,0,0,0,0
Bear Creek,245,69.08069432789326,0,0,1,0,0,0,0
Bear Creek,246,94.51896733003895,1,0,0,1,0,0,0
Bear Creek,247,68.88200116922698,1,0,0,0,0,1,0
Bear Creek,248,53.37526345088061,1,0,0,0,0,0,0
Bear Creek,249,110.96628101883798,1,0,0,1,0,0,0
Bear Creek,250,61.46366744635079,1,0,0,1,0,0,0
Bear Creek,251,66.95038387123051,0,0,0,1,0,1,0
Bear Creek,252,98.30392346450053,0,0,0,1,0,1,0
Bear Creek,253,114.53393447547289,1,1,0,1,0,0,0
Bear Creek,254,70.97515136097053,1,0,0,1,0,0,0
Bear Creek,255,97.87907460529317,0,0,0,0,0,0,0
Bear Creek,256,75.11219870404939,1,0,0,0,0,1,0
Bear Creek,257,112.06980098902126,1,0,1,0,0,0,0
Bear Creek,258,57.9681992144725,1,0,0,0,0,0,0
Bear Creek,259,130.77606345808607,0,1,0,0,0,0,0
Bear Creek,260,68.05632632270378,0,0,1,1,0,1,0
Bear Creek,261,83.91959089404828,0,0,0,1,0,0,0
Bear Creek,262,81.33005591076542,1,0,0,1,1,0,0
Bear Creek,263,106.33292022130762,1,0,0,1,1,0,0
Bear Creek,264,104.02111548473184,1,0,0,1,0,0,0
Bear Creek,265,98.55506363170501,1,0,0,0,0,0,0
Bear Creek,266,82.44101958250286,0,0,0,1,0,0,0
Bear Creek,267,115.20959044272851,1,0,0,0,0,0,0
Bear Creek,268,98.27412668706617,0,0,0,0,0,1,0
Bear Creek,269,92.93954388799484,0,0,0,0,0,0,0
Bear Creek,270,91.21819177085948,0,0,1,1,0,1,0
Bear Creek,271,123.84912166636282,0,0,0,0,0,0,0
Bear Creek,272,118.82585353718812,0,1,0,1,0,1,0
Bear Creek,273,85.0364217592057,1,0,0,0,0,0,0
Bear Creek,274,107.31755486862767,1,0,1,0,0,0,0
Bear Creek,275,71.9505044936251,1,0,0,1,1,1,0
Bear Creek,276,80.10477176023272,0,0,0,1,0,0,0
Bear Creek,277,135.49348741894394,1,0,0,1,0,1,0
Bear Creek,278,80.90175425967442,1,0,0,0,0,1,0
Bear Creek,279,72.83597307388453,1,0,0,1,0,1,0
Bear Creek,280,98.98208833762064,1,0,0,1,0,0,0
Bear Creek,281,81.59945593726087,0,0,0,1,0,0,0
Bear Creek,282,81.28557958188036,1,0,0,0,0,1,0
Bear Creek,283,105.42329235140889,0,0,0,1,0,0,0
Bear Creek,284,114.50140895872272,1,0,0,0,0,0,0
Bear Creek,285,41.50746754002046,1,0,0,0,0,1,0
Bear Creek,286,67.53534923481251,0,0,1,0,0,1,0
Bear Creek,287,143.69503526491792,0,0,0,0,0,0,0
Bear Creek,288,78.59646730942555,0,0,0,1,0,1,0
Bear Creek,289,92.6517378881741,0,0,0,0,0,0,0
Bear Creek,290,101.71768873047527,0,0,1,1,0,0,0
Bear Creek,291,88.76885362732315,0,0,0,0,0,0,0
Bear Creek,292,94.11420935265893,0,0,0,0,0,0,0
Bear Creek,293,64.82789618333587,1,0,0,0,0,1,0
Bear Creek,294,54.84895730533976,1,0,0,0,0,1,0
Bear Creek,295,100.97754940339904,1,0,0,0,0,0,0
Bear Creek,296,94.10000525375288,1,0,0,1,0,0,0
Bear Creek,297,85.86213331386485,1,0,0,1,1,1,0
Bear Creek,298,52.842687790431874,0,0,1,0,0,0,0
Bear Creek,299,141.58540787648238,0,0,0,0,0,0,0
Bear Creek,300,113.11107277092768,0,0,0,1,0,0,0
Bear Creek,301,101.08021999009381,0,0,0,0,0,0,0
Bear Creek,302,72.94187403605505,0,0,0,0,0,0,0
Bear Creek,303,116.08775455983606,1,0,0,0,0,0,0
Bear Creek,304,62.32951739214295,1,0,0,0,0,1,0
Bear Creek,305,75.69362969319667,0,0,0,1,0,1,0
Bear Creek,306,83.39938328950544,0,0,0,1,0,0,0
Bear Creek,307,101.68412501660538,0,1,0,0,0,0,0
Bear Creek,308,96.31987546978954,1,0,0,0,1,0,0
Bear Creek,309,79.55288224392706,0,0,0,0,0,0,0
Bear Creek,310,92.78737185817138,1,0,0,0,0,1,0
Bear Creek,311,80.9902789517831,0,0,0,0,0,0,0
Bear Creek,312,116.55033532201548,1,0,1,0,0,0,0
Bear Creek,313,82.28862608510738,1,0,0,1,0,0,0
Bear Creek,314,109.88356282115323,0,0,0,0,0,0,0
Bear Creek,315,105.38355179561692,1,0,0,1,0,0,0
Bear Creek,316,106.30667341664483,0,0,0,0,0,0,0
Bear Creek,317,107.7268229192519,1,0,0,0,0,0,0
Bear Creek,318,103.13413918416359,0,0,0,1,0,0,0
Bear Creek,319,98.58209433757493,1,0,0,0,0,0,0
Bear Creek,320,69.3722027026697,0,0,0,1,0,0,0
Bear Creek,321,74.998208978618635,0,0,0,1,0,1,0
Bear Creek,322,111.71899047331753,0,0,0,0,0,0,0
Bear Creek,323,94.0134013057724,1,0,0,0,0,1,0
Bear Creek,324,76.44695393638084,1,0,0,0,0,1,0
Bear Creek,325,84.83980929686379,0,0,0,1,0,0,0
Bear Creek,326,86.2085936464364,0,0,0,1,0,0,0
Bear Creek,327,100.33286382074343,1,0,0,0,0,0,0
Bear Creek,328,66.00511080183463,0,0,0,1,0,1,0
Bear Creek,329,84.49014912790469,0,0,0,0,0,1,0
Bear Creek,330,111.72137207195537,0,0,0,0,0,0,0
Bear Creek,331,89.60684895940847,1,0,0,1,0,0,0
Bear Creek,332,125.60144706029907,1,0,0,1,0,0,0
Bear Creek,333,93.13715077939925,0,0,0,1,1,0,0
Bear Creek,334,87.5710167180801,1,0,0,1,0,1,0
Bear Creek,335,81.57609977974195,1,0,0,0,0,0,0
Bear Creek,336,91.73185177409445,1,0,0,0,0,0,0
Bear Creek,337,103.22892845504853,1,0,0,1,0,0,0
Bear Creek,338,8.933956913316727,1,0,1,1,0,1,0
Bear Creek,339,112.11628472939373,1,0,0,1,0,0,0
Bear Creek,340,76.3875755116565,0,0,0,0,0,0,0
Bear Creek,341,89.94627671344455,1,0,0,0,0,1,0
Bear Creek,342,110.99953277782804,1,0,0,0,0,0,0
Bear Creek,343,92.669778640449607,1,0,0,1,0,0,0
Bear Creek,344,93.83198418475699,0,0,0,0,0,0,0
Bear Creek,345,108.88179335827576,0,0,0,1,0,0,0
Bear Creek,346,68.70100229990449,1,0,0,0,0,0,0
Bear Creek,347,82.66549330438455,0,0,0,0,0,0,0
Bear Creek,348,120.01161164674217,0,0,1,0,0,0,0
Bear Creek,349,87.67733220995615,0,0,1,0,0,0,0
Bear Creek,350,87.20857247204242,0,0,0,0,0,0,0
Bear Creek,351,73.27479311214282,1,0,0,1,0,1,0
Bear Creek,352,96.5226895327729,0,0,0,0,0,0,0
Bear Creek,353,105.75338034194795,0,0,0,0,0,0,0
Bear Creek,354,127.09241995870237,1,0,0,0,0,0,0
Bear Creek,355,60.470360241850244,0,0,0,1,0,1,0
Bear Creek,356,97.01943821470238,1,0,0,1,0,0,0
Bear Creek,357,127.66887017865756,0,0,0,1,0,0,0
Bear Creek,358,122.55334061933016,0,0,0,0,0,0,0
Bear Creek,359,59.77307933722732,1,0,0,1,0,1,0
Bear Creek,360,69.82729900858914,1,0,0,0,0,0,0
Bear Creek,361,123.24194818319262,1,0,0,0,0,0,0
Bear Creek,362,69.14221756419957,0,0,0,0,0,1,0
Bear Creek,363,82.06160704318613,1,0,1,1,0,1,0
Bear Creek,364,19.737945862570598,0,0,0,1,0,1,0
Bear Creek,365,125.50921755106299,0,0,0,0,0,0,0
Bear Creek,366,74.14399105159758,1,0,0,0,0,1,0
Bear Creek,367,96.95743411174114,1,0,0,1,0,0,0
Bear Creek,368,86.45648950197824,0,0,0,1,0,0,0
Bear Creek,369,119.96730664422614,1,0,1,0,0,0,0
Bear Creek,370,95.0593668255029,1,0,0,0,0,0,0
Bear Creek,371,106.09740315173316,1,0,0,0,0,0,0
Bear Creek,372,87.8383923079091,1,0,0,0,0,0,0
Bear Creek,373,93.74338450257412,1,0,0,0,0,0,0
Bear Creek,374,88.01342642515031,0,0,0,1,0,0,0
Bear Creek,375,92.80378185356612,1,0,0,0,0,0,0
Bear Creek,376,55.19468951761048,0,0,0,1,0,1,0
Bear Creek,377,78.7815590213154,0,0,0,0,0,1,0
Bear Creek,378,57.02809883913699,1,0,0,1,0,1,0
Bear Creek,379,118.3092559866354,1,0,0,0,0,0,0
Bear Creek,380,90.47543235733093,1,0,0,1,0,1,0
Bear Creek,381,130.77401552073198,0,0,0,1,0,0,0
Bear Creek,382,81.19882357630512,1,0,1,0,0,1,0
Bear Creek,383,80.5242999074267,1,0,0,1,0,0,0
Bear Creek,384,95.74677682752018,1,0,0,1,0,0,0
Bear Creek,385,117.37022360096097,1,0,0,1,1,0,0
Bear Creek,386,57.01146097809405,1,0,0,1,0,1,0
Bear Creek,387,83.01968792613822,1,0,0,0,0,1,0
Bear Creek,388,72.1016896368954,1,0,0,1,0,0,0
Bear Creek,389,62.160366951471154,1,0,0,0,0,1,0
Bear Creek,390,120.03201207004008,1,0,0,0,0,0,0
Bear Creek,391,104.83308012537672,1,0,0,1,0,0,0
Bear Creek,392,59.7966433576061,0,0,1,1,0,0,0
Bear Creek,393,69.89903862522942,1,0,1,1,0,0,0
Bear Creek,394,82.40185022962515,0,0,0,1,0,0,0
Bear Creek,395,82.88504796365864,0,0,0,0,0,1,0
Bear Creek,396,99.29878843338902,0,0,1,1,0,0,0
Bear Creek,397,80.35383543572212,0,0,0,0,0,0,0
Bear Creek,398,107.38994973305864,0,0,0,1,0,0,0
Bear Creek,399,55.046199851782404,0,1,0,1,0,1,0
Bear Creek,400,93.96433472744634,1,0,0,0,1,0,0
Bear Creek,401,100.83536721694799,0,0,0,0,0,0,0
Bear Creek,402,92.67548111885034,1,0,0,0,0,0,0
Bear Creek,403,83.16042166200182,1,0,0,0,0,0,0
Bear Creek,404,71.17734136788555,1,0,0,0,0,1,0
Bear Creek,405,92.36660817514091,0,0,0,0,0,0,0
Bear Creek,406,79.26188853913399,0,0,0,0,0,1,0
Bear Creek,407,41.42303730817884,1,0,0,1,0,1,0
Bear Creek,408,99.4852191673459,0,0,0,0,0,0,0
Bear Creek,409,71.31849890902518,1,0,0,1,0,1,0
Bear Creek,410,72.9704767871003,0,0,0,0,0,0,0
Bear Creek,411,113.85505834029043,0,0,0,1,0,0,0
Bear Creek,412,133.0121558673394,1,0,0,0,0,0,0
Bear Creek,413,116.22227644750612,1,0,0,0,0,0,0
Bear Creek,414,87.98435267451895,1,0,0,0,0,0,0
Bear Creek,415,58.58909496504148,1,0,0,1,0,1,0
Bear Creek,416,60.577521478427634,0,0,0,0,0,1,0
Bear Creek,417,89.33521032196302,1,0,0,0,0,1,0
Bear Creek,418,77.85100355802518,0,0,0,0,0,0,0
Bear Creek,419,98.26953200506628,1,0,0,0,0,0,0
Bear Creek,420,98.4514370951929,1,1,1,0,0,0,0
Bear Creek,421,114.7444251198625,1,0,0,0,0,0,0
Bear Creek,422,102.20713904959891,0,0,1,1,0,0,0
Bear Creek,423,96.88382053641952,0,0,0,0,0,0,0
Bear Creek,424,98.82504408360943,1,0,0,1,0,1,0
Bear Creek,425,111.74402484430905,0,0,0,0,0,0,0
Bear Creek,426,101.66646977807368,1,0,0,0,0,0,0
Bear Creek,427,106.59402655286074,1,0,0,0,0,0,0
Bear Creek,428,84.97793879352561,1,0,0,1,0,0,0
Bear Creek,429,112.40754830374746,0,0,0,1,0,0,0
Bear Creek,430,60.49773304357503,0,0,0,1,0,0,0
Bear Creek,431,83.99174585098099,0,0,0,1,0,0,0
Bear Creek,432,60.19466566332429,1,0,0,1,0,0,0
Bear Creek,433,74.22862276570156,1,0,0,0,0,0,0
Bear Creek,434,117.48086360198012,0,0,1,1,0,0,0
Bear Creek,435,76.9805834460935,1,0,1,0,0,0,0
Bear Creek,436,107.10938818950112,1,0,0,0,0,0,0
Bear Creek,437,85.88607258889809,1,0,1,0,1,0,0
Bear Creek,438,114.52378742349309,1,0,0,0,0,0,0
Bear Creek,439,77.02979268263867,0,0,1,0,0,1,0
Bear Creek,440,89.48068687176585,1,0,0,1,0,0,0
Bear Creek,441,114.09420107341647,0,0,0,1,0,0,0
Bear Creek,442,104.83535739714907,0,0,0,1,0,1,0
Bear Creek,443,76.90225396267056,1,0,0,0,0,1,0
Bear Creek,444,77.69647381052684,1,0,0,1,0,0,0
Bear Creek,445,101.56403590426852,1,0,0,0,0,0,0
Bear Creek,446,105.29976135959501,1,0,0,1,0,0,0
Bear Creek,447,113.37881344060865,0,0,0,1,0,0,0
Bear Creek,448,47.532380042522774,0,0,0,0,0,1,0
Bear Creek,449,97.39969706239589,1,0,0,1,0,0,0
